stockout_A,excess_A,service_A,cost_A,stockout_B,excess_B,service_B,cost_B
0.0,119.5,1.0,239.0,0.0,57.526729974037494,1.0,115.05345994807499
0.0,127.5,1.0,255.0,0.0,65.5267299740375,1.0,131.053459948075
0.0,103.5,1.0,207.0,0.0,41.526729974037494,1.0,83.05345994807499
0.0,166.5,1.0,333.0,0.0,104.5267299740375,1.0,209.053459948075
0.0,261.5,1.0,523.0,0.0,199.5267299740375,1.0,399.053459948075
0.0,184.5,1.0,369.0,0.0,122.5267299740375,1.0,245.053459948075
0.0,163.5,1.0,327.0,0.0,101.5267299740375,1.0,203.053459948075
0.0,202.5,1.0,405.0,0.0,140.5267299740375,1.0,281.053459948075
0.0,200.5,1.0,401.0,0.0,138.5267299740375,1.0,277.053459948075
0.0,169.5,1.0,339.0,0.0,107.5267299740375,1.0,215.053459948075
5.5,116.0,0.9837278106508875,287.0,0.0,48.526729974037494,1.0,97.05345994807499
0.0,194.5,1.0,389.0,0.0,132.5267299740375,1.0,265.053459948075
0.0,249.5,1.0,499.0,0.0,187.5267299740375,1.0,375.053459948075
0.0,117.5,1.0,235.0,0.0,55.526729974037494,1.0,111.05345994807499
0.0,213.5,1.0,427.0,0.0,151.5267299740375,1.0,303.053459948075
0.0,144.5,1.0,289.0,0.0,82.5267299740375,1.0,165.053459948075
0.0,182.5,1.0,365.0,0.0,120.5267299740375,1.0,241.053459948075
0.0,158.5,1.0,317.0,0.0,96.5267299740375,1.0,193.053459948075
0.0,126.5,1.0,253.0,0.0,64.5267299740375,1.0,129.053459948075
0.0,113.5,1.0,227.0,0.0,51.526729974037494,1.0,103.05345994807499
0.0,205.5,1.0,411.0,0.0,143.5267299740375,1.0,287.053459948075
0.0,107.5,1.0,215.0,0.0,45.526729974037494,1.0,91.05345994807499
0.0,108.5,1.0,217.0,0.0,46.526729974037494,1.0,93.05345994807499
0.0,102.5,1.0,205.0,0.0,40.526729974037494,1.0,81.05345994807499
0.0,183.5,1.0,367.0,0.0,121.5267299740375,1.0,243.053459948075
0.0,137.5,1.0,275.0,0.0,75.5267299740375,1.0,151.053459948075
0.0,214.5,1.0,429.0,0.0,152.5267299740375,1.0,305.053459948075
0.0,115.5,1.0,231.0,0.0,53.526729974037494,1.0,107.05345994807499
0.0,153.5,1.0,307.0,0.0,91.5267299740375,1.0,183.053459948075
0.0,139.5,1.0,279.0,0.0,77.5267299740375,1.0,155.053459948075
0.0,142.5,1.0,285.0,0.0,80.5267299740375,1.0,161.053459948075
0.0,221.5,1.0,443.0,0.0,159.5267299740375,1.0,319.053459948075
0.0,134.5,1.0,269.0,0.0,72.5267299740375,1.0,145.053459948075
0.0,212.5,1.0,425.0,0.0,150.5267299740375,1.0,301.053459948075
0.0,188.5,1.0,377.0,0.0,126.5267299740375,1.0,253.053459948075
6.5,83.0,0.9825268817204301,231.0,0.0,14.526729974037494,1.0,29.053459948074988
0.0,213.5,1.0,427.0,0.0,151.5267299740375,1.0,303.053459948075
28.25,90.75,0.9268134715025906,464.0,0.0,0.5267299740374938,1.0,1.0534599480749876
0.0,146.5,1.0,293.0,0.0,84.5267299740375,1.0,169.053459948075
0.0,118.5,1.0,237.0,0.0,56.526729974037494,1.0,113.05345994807499
0.0,108.5,1.0,217.0,0.0,46.526729974037494,1.0,93.05345994807499
18.25,109.75,0.9488795518207283,402.0,0.0,29.526729974037494,1.0,59.05345994807499
0.0,187.5,1.0,375.0,0.0,125.5267299740375,1.0,251.053459948075
0.0,206.5,1.0,413.0,0.0,144.5267299740375,1.0,289.053459948075
0.0,194.5,1.0,389.0,0.0,132.5267299740375,1.0,265.053459948075
0.0,146.5,1.0,293.0,0.0,84.5267299740375,1.0,169.053459948075
0.0,158.5,1.0,317.0,0.0,96.5267299740375,1.0,193.053459948075
0.0,159.5,1.0,319.0,0.0,97.5267299740375,1.0,195.053459948075
0.0,163.5,1.0,327.0,0.0,101.5267299740375,1.0,203.053459948075
0.0,157.5,1.0,315.0,0.0,95.5267299740375,1.0,191.053459948075
0.0,156.5,1.0,313.0,0.0,94.5267299740375,1.0,189.053459948075
0.0,161.5,1.0,323.0,0.0,99.5267299740375,1.0,199.053459948075
4.75,135.25,0.985062893081761,318.0,0.0,68.5267299740375,1.0,137.053459948075
0.0,135.5,1.0,271.0,0.0,73.5267299740375,1.0,147.053459948075
0.0,112.5,1.0,225.0,0.0,50.526729974037494,1.0,101.05345994807499
8.25,56.75,0.979375,196.0,13.473270025962506,0.0,0.9663168249350937,134.73270025962506
0.0,210.5,1.0,421.0,0.0,148.5267299740375,1.0,297.053459948075
0.0,161.5,1.0,323.0,0.0,99.5267299740375,1.0,199.053459948075
0.0,118.5,1.0,237.0,0.0,56.526729974037494,1.0,113.05345994807499
37.25,62.75,0.9119385342789598,498.0,36.473270025962506,0.0,0.9137747753523345,364.73270025962506
0.0,197.5,1.0,395.0,0.0,135.5267299740375,1.0,271.053459948075
0.0,119.5,1.0,239.0,0.0,57.526729974037494,1.0,115.05345994807499
0.0,170.5,1.0,341.0,0.0,108.5267299740375,1.0,217.053459948075
0.0,171.5,1.0,343.0,0.0,109.5267299740375,1.0,219.053459948075
0.0,175.5,1.0,351.0,0.0,113.5267299740375,1.0,227.053459948075
0.0,161.5,1.0,323.0,0.0,99.5267299740375,1.0,199.053459948075
0.0,170.5,1.0,341.0,0.0,108.5267299740375,1.0,217.053459948075
0.0,66.5,1.0,133.0,0.0,4.526729974037494,1.0,9.053459948074988
0.0,194.5,1.0,389.0,0.0,132.5267299740375,1.0,265.053459948075
76.25,63.75,0.8345986984815619,890.0,74.4732700259625,0.0,0.8384527765163503,744.7327002596251
0.0,67.5,1.0,135.0,0.0,5.526729974037494,1.0,11.053459948074988
0.0,116.5,1.0,233.0,0.0,54.526729974037494,1.0,109.05345994807499
0.0,193.5,1.0,387.0,0.0,131.5267299740375,1.0,263.053459948075
19.5,163.0,0.9360655737704918,521.0,0.0,81.5267299740375,1.0,163.053459948075
0.0,197.5,1.0,395.0,0.0,135.5267299740375,1.0,271.053459948075
0.0,158.5,1.0,317.0,0.0,96.5267299740375,1.0,193.053459948075
0.0,172.5,1.0,345.0,0.0,110.5267299740375,1.0,221.053459948075
0.0,165.5,1.0,331.0,0.0,103.5267299740375,1.0,207.053459948075
11.75,159.25,0.9609634551495017,436.0,0.0,85.5267299740375,1.0,171.053459948075
0.0,135.5,1.0,271.0,0.0,73.5267299740375,1.0,147.053459948075
0.0,155.5,1.0,311.0,0.0,93.5267299740375,1.0,187.053459948075
0.0,176.5,1.0,353.0,0.0,114.5267299740375,1.0,229.053459948075
3.25,122.75,0.9901215805471124,278.0,0.0,57.526729974037494,1.0,115.05345994807499
0.0,144.5,1.0,289.0,0.0,82.5267299740375,1.0,165.053459948075
11.75,131.25,0.9642857142857143,380.0,0.0,57.526729974037494,1.0,115.05345994807499
0.0,148.5,1.0,297.0,0.0,86.5267299740375,1.0,173.053459948075
0.0,147.5,1.0,295.0,0.0,85.5267299740375,1.0,171.053459948075
0.0,284.5,1.0,569.0,0.0,222.5267299740375,1.0,445.053459948075
0.0,136.5,1.0,273.0,0.0,74.5267299740375,1.0,149.053459948075
0.0,194.5,1.0,389.0,0.0,132.5267299740375,1.0,265.053459948075
0.0,116.5,1.0,233.0,0.0,54.526729974037494,1.0,109.05345994807499
0.0,162.5,1.0,325.0,0.0,100.5267299740375,1.0,201.053459948075
0.0,161.5,1.0,323.0,0.0,99.5267299740375,1.0,199.053459948075
0.0,132.5,1.0,265.0,0.0,70.5267299740375,1.0,141.053459948075
16.25,89.75,0.9566666666666667,342.0,0.0,11.526729974037494,1.0,23.053459948074988
0.0,182.5,1.0,365.0,0.0,120.5267299740375,1.0,241.053459948075
0.0,168.5,1.0,337.0,0.0,106.5267299740375,1.0,213.053459948075
0.0,150.5,1.0,301.0,0.0,88.5267299740375,1.0,177.053459948075
0.0,130.5,1.0,261.0,0.0,68.5267299740375,1.0,137.053459948075
